r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
2.211249999999999674e-03,1.048331920725173144e-08,1.346633779428906154e-11,1.590739293205030924e-05,1.048332785633391527e-08
2.214874999999999830e-03,1.056210147165574291e-08,1.355291935592877786e-11,1.594555754506147077e-05,1.056211016696831664e-08
2.218499999999999552e-03,1.064176135000976516e-08,1.364046472344806228e-11,1.598400964990765461e-05,1.064177009208710235e-08
2.222124999999999708e-03,1.072231242212196807e-08,1.372898864391650026e-11,1.602275245889730123e-05,1.072232121150640804e-08
2.225749999999999864e-03,1.080376853677049531e-08,1.381850615439116669e-11,1.606178923420858675e-05,1.080377737401249864e-08
2.229374999999999586e-03,1.088614381824183243e-08,1.390903258890346502e-11,1.610112328888062763e-05,1.088615270390014472e-08
2.232999999999999742e-03,1.096945267305847519e-08,1.400058358565334650e-11,1.614075798782915109e-05,1.096946160770028261e-08
2.236624999999999898e-03,1.105370979690192180e-08,1.409317509440452295e-11,1.618069674888694979e-05,1.105371878110302477e-08
2.240249999999999620e-03,1.113893018173802816e-08,1.418682338409859320e-11,1.622094304386987950e-05,1.113893921608301674e-08
2.243874999999999776e-03,1.122512912315121475e-08,1.428154505068801054e-11,1.626150039966950452e-05,1.122513820823363238e-08
2.247499999999999932e-03,1.131232222789485707e-08,1.437735702519629539e-11,1.630237239937251949e-05,1.131233136431739581e-08
2.251124999999999654e-03,1.140052542166522168e-08,1.447427658201641459e-11,1.634356268340851292e-05,1.140053461003989759e-08
2.254749999999999810e-03,1.148975495710687389e-08,1.457232134745327752e-11,1.638507495072627571e-05,1.148976419805521724e-08
2.258374999999999966e-03,1.158002742205689570e-08,1.467150930851850785e-11,1.642691295999976602e-05,1.158003671621014622e-08
2.261999999999999688e-03,1.167135974803727952e-08,1.477185882198542806e-11,1.646908053086481799e-05,1.167136909603658655e-08
2.265624999999999844e-03,1.176376921900312085e-08,1.487338862371776980e-11,1.651158154518700782e-05,1.176377862149974518e-08
2.269249999999999566e-03,1.185727348035635079e-08,1.497611783827338618e-11,1.655441994836224232e-05,1.185728293801187480e-08
2.272874999999999722e-03,1.195189054823400490e-08,1.508006598880281844e-11,1.659759975065053090e-05,1.195190006172054427e-08
2.276499999999999878e-03,1.204763881908086347e-08,1.518525300724138572e-11,1.664112502854426224e-05,1.204764838908129219e-08
